date,link,text,price,images,description,place
2019-09-13 14:28,https://gainesville.craigslist.org/mob/d/gainesville-iphone-xs-max-gold-256-gb/6977841253.html,iPhone XS MAX Gold  256 gb gainesville,$400,,"
        ,
Apple iPhone XS MAX Gold Authentic Factory Sealed Unlocked funciona con cualquier operador de EE. UU. O internacional. Totalmente pagado, Limpio IMEI! Viene con todos sus accesorios originales, sellado en la caja, NUEVO. También tengo comprobante de compra con recibo de Apple. Dispuesto a reunirse en la estación de policía o en la tienda de teléfonos. *T*-*E*-*X*T*-* -*M*-*E*-‪(3 0 1) 5 3 9 - 2 6 1 1,
    ", (gaine=sville)
2019-09-13 14:32,https://gainesville.craigslist.org/grd/d/cross-city-guinea-chicks/6977953949.html,Guinea chicks,$4,,"
        ,
Guinea chicks ages from 1 week old to 10 weeks old. $4-$10.Going fast. ,
.    ", (Old town)
2019-09-13 14:26,https://gainesville.craigslist.org/hsh/d/gainesville-water-bottles-set-of-6/6977948055.html,Water bottles-set of 6,$2,,"
        ,
Various water bottles.  $2 total for all 6.,
Thanks!    ", (Gainesville)
2019-09-13 14:25,https://gainesville.craigslist.org/wto/d/gainesville-wheel-tire/6977946915.html,Wheel & tire,$50,,"
        ,
16 inch; & 15 inch , 1 of each,
 ,
    ", (Gainesve fl)
2019-09-13 14:22,https://gainesville.craigslist.org/app/d/gainesville-dishwasher-ge-white/6974413562.html,dishwasher GE white,$25,,"
        ,
works great clean and ready to install  ,
 delivery available i have several if interested    ", (Gainesville)
2019-09-13 13:03,https://gainesville.craigslist.org/for/d/newberry-travel-trailer-cover/6977866427.html,Travel trailer cover,$75,,"
        ,
Custom made nylon material for trailers thirty feet or less.  It has enough room to accommodate up to 35 feet, but it might be a little snug.  It is in great shape and we hardly ever used it.,
,
Has zippered entry panels to access while it is on.    ", (Newberry)
2019-09-13 13:10,https://gainesville.craigslist.org/mob/d/gainesville-iphone-256-gb-unlock-it/6977842983.html,Iphone X 256 gb unlock it yourself,$400,,"
        ,
hello there, i have bought this , so it will work on verizon network, unless you wanna unlock it yourself, i was using android and i thought to switch to IOS but it was not easy for me. so its a good price and if you are interested contact me at this *T*-*E*-*X*T*-* -*M*-*E*-‪(8 1 6) 6 5 9 -1 2 6 2,
    ", (gaine=sville)
2019-09-13 13:23,https://gainesville.craigslist.org/pts/d/chiefland-driver-door-glass-ram/6971462305.html,Driver Door Glass 1994-2001 Ram,$10,,"
        ,
This is a good door glass from a Dodge truck that I no longer have.  The glass mounts a re good with no rust.    ", (Chiefland)
2019-09-13 12:48,https://gainesville.craigslist.org/pts/d/newberry-toyota-tundra-side-mirrors/6977852057.html,Toyota Tundra side mirrors,$100,,"
        ,
These came off of a 2017 and were only used for about six months.  They are in perfect condition.,
,
I am sure they are compatible for a 2007 and beyond.    ", (Newberry)
2019-09-13 12:33,https://gainesville.craigslist.org/emd/d/high-springs-over-1650-music-cds-sorted/6974829958.html,"Over 1,650 MUSIC CDs, SORTED BY GENRE",$1,,"
        ,
1,652 MUSIC CDs sorted by genre,
,
All discs are in very good to brand new condition.  About 85% are in plastic jewel cases with all inserts included.  About 15% are in plastic library cases, especially the children’s music CDs.,
,
TAKE THE WHOLE LOT FOR $150: LESS THAN 10 CENTS EACH!,
,
Alternatively, select what you want at: 30 music CDs for $10 or 100 for $25 or 500 for $100,
,
194 	Alternative Rock CDs: Indie Rock, Rap, Hip-Hop, Punk, Hardcore,
137	Movie Soundtrack CDs In Alphabetical Order BY MOVIE TITLE,
107 	World CDs, including many Celtic,
350	 POP/Rock CDs 1970 – 2016, by year of release,
69 	Blues/R&B/Soul CDs,
167 	Children’s CD’s,
115 	Dance/Electronica CDs,
31 	Spanish Language Latin CDs,
72 	Country/Western CDs,
76 	Folk Rock, Contemporary Folk, Traditional, and Folk/New Age CDs,
29 	Christian CDs,
20 	Big Band Era CDs,
42 	Ambient CDs, including chants,
21 	Jazz CDs,
190	Christmas CDs,
32	Unsorted,
,
Available by appointment.  We are located in High Springs, just 3 miles west of I-75 exit #399.  I do go into NW Gainesville on Tuesday afternoons and can meet somewhere convenient.  ,
,
This listing will be promptly removed once the item is sold and paid for.,
,
    ", (Gainesville/High Springs)
